X1,X2,X3,X4,trial,or,lo,hi
1,11,4,7,trial1,0.1590909090909091,0.01461494699428655,1.7317830413799211
4,17,7,14,trial2,0.47058823529411764,0.11402459976779838,1.9421536023647794
20,63,15,69,trial3,1.4603174603174602,0.6887405826639279,3.09627040802474
22,197,17,190,trial4,1.2481337712750076,0.642813889619297,2.423466474751804
19,145,18,139,trial5,1.0118773946360156,0.5098911954327552,2.008067350342006
69,304,94,263,trial6,0.6350433930571109,0.44669044575787,0.9028178571880346
13,89,29,75,trial7,0.3777605579232855,0.18337397633261684,0.7782076932425076
26,238,32,221,trial8,0.7544642857142857,0.43575696751985477,1.3062702397120745
7,46,3,51,trial9,2.586956521739131,0.6315883270333434,10.596054041726003
11,38,9,33,trial10,1.0614035087719298,0.39173164083338063,2.8758907655165467
6,49,6,47,trial11,0.9591836734693877,0.28882636967651026,3.1854200864023587
48,254,52,241,trial12,0.8758328285887341,0.5696920999164373,1.3464872406450064
4,10,1,8,trial13,3.2,0.2960528839383158,34.58841496079991
37,315,65,311,trial14,0.562002442002442,0.3645007277614573,0.8665188318181078
1,12,3,8,trial15,0.2222222222222222,0.01949407833238562,2.533216252001149
63,186,51,183,trial16,1.2153700189753318,0.7970928204990209,1.8531396156589934
5,27,5,21,trial17,0.7777777777777777,0.19873413278703167,3.0439575885698744
25,87,31,87,trial18,0.8064516129032258,0.44043328025731576,1.4766463687173002
25,131,50,109,trial19,0.41603053435114506,0.24166913279524993,0.7161916108630206
54,805,63,819,trial20,0.8720496894409936,0.5985921166830452,1.2704321351041161
628,5232,758,5094,trial21,0.8066435089927622,0.7207602234672703,0.9027603486080881
791,7801,1029,7566,trial22,0.7455506750835189,0.676001649626179,0.8222551075502063
