l,t,n,c
0,0.4,2.62,2
0,0.4,1.27,1
0,0.4,1.2,1
0,0.5,1.16,1
0,0.5,2.54,1
0,0.5,1.78,1
0,0.5,2.58,1
0,0.5,1.62,1
0,0.5,2.57,1
0,0.5,1.96,1
0,0.6,2.14,1
0,0.6,1.26,1
0,0.6,2.12,1
0,0.6,1.7,1
0,0.6,1.69,1
0,0.6,8.04,1
0,0.64,2.18,1
0,0.66,1.56,1
0,0.66,1.78,1
0,0.7,1.01,1
0,0.7,2.14,1
0,0.7,2.28,1
0,0.7,2.96,1
0,0.76,1.63,1
0,0.8,2.57,1
0,0.8,1.48,1
0,0.8,2.57,1
0,0.8,4.27,1
0,0.9,2.74,1
0,0.9,3.12,1
0,0.92,1.96,1
0,1,1.74,1
0,1,1.76,1
0,1,2.61,1
0,1,2.62,1
0,1,1.56,1
0,1.23,1.32,1
0,1.5,2.54,1
0,2,0.97,1
1,0.8,6.22,3
1,1,2.26,2
1,1,1.77,2
1,1,2.49,2
1,1.2,1.95,2
1,1.4,2.09,2
1,1.5,2.12,2
1,2,1.65,3
1,2,2.07,1
1,2,1.06,1
1,2,3.91,1
1,2.5,2.81,2
1,3,4.34,1
1,3.2,1.78,1
1,4,6.93,3
1,4,5,3
1,4.5,11.94,3
